347,borengo,,rope,,,
348,bori,,climbing *plant,,,
349,bori,,both,,,
350,boriri,,"*parrot, lorry",,,
351,boro,,fine repair of nets,,,
352,boro,,flower bud,,,
353,boroho,,"ulcer, boil",,,
354,boroho,,"slice, cut",,,
355,borohono,,fear,,,
356,borokata,ma,vow not to eat a certain food (usually the favorite food of a relative who has died,,,
357,boronga,,superficial *tear,,,
358,borotoka,o,plum,food,,
359,borowotiti,ho,hide in sarong fold,,,
360,boru,o,drill,,,
361,borua,o,"box, case",,,
362,bota,ma,"clothing, wrapper",,olyou mabota,sock
363,bote,part,"sure, certainly",,,
364,boteani,adv,presently,,,
365,boteme,o,k o *grain,food,,
366,botino,part,"then, further, next",,,
367,boto,i,"past, done, completed, finished",,ngohi tadiai ibotoka,I have done it
368,boto-boto,o,k o *grasshopper,animal,,
369,botue,ma,net to land fish,fishing,,
370,bou-lamo,o,civet cat,animal,,
371,bounu,ma,"smell, scent, stench",,,
372,buapong,o,k o *millet,food,,
373,bubu,ha,to turn wood (by hand but as if on a lathe),,,
374,bubu,o,k o *fish,fish,,
375,bubukunu,o,purchase price,,,
376,bubuutu,,"spike, bar",,,
377,budi,ho,"mislead, decieve",,,
378,budi,o,deception,,,
379,budi,o,"art, wisdom",,,
380,bugo,,"swelling, festering",,,
381,bugo,,mark of ownership,,,
382,buhanga,,"span, linear measure",,,
383,buhengi,,"lazy, idle",,,
384,buho,,pandanus *tree,,,
385,buho-buho,,lying in heaps,,,
386,buhuhu,,give birth,,,
387,buhuku,,"inlay, take away, align",,,
388,buku,,partially full,,,
389,buku,,knee,,,
390,bukuku,,kneel,,,
391,bukunu,ho ma,sell,,,
392,bula,,multiple,,,
393,bulana,,fish,,,
394,buli-buliruku,,"wobbly, displeasing",,,
395,bulu,,belt,,,
396,bululawa,,clove,,,
397,bululu,,short,,,
398,bululu,,round,,,
399,buluteute,,stripe,,,
400,bunga,,interest money,,,
401,buoto,,"bite, mouthfull",,,
402,bureure,,"fat, obese, thick",,,
403,buruhu,,"wet, soaking *wet",,,
404,buruutu,,peel skin,,,
405,buta,,strand of aren fiber,,,
406,butanga,,six,,,
407,buteteke,,white *ant,,,
408,butu,,market,,,
409,buturungu,,strong,,,
410,butuueuhe,,"brackish, salty",,,
411,butuutu,,pin up,,,
412,buure!,,shout,,,
413,buwe-buw,,"cradle, swing",,,
414,caana,,thousand,,,
415,cacaki,,chalk pot,,,
416,cade,,joke,,,
417,cafala,,do *quickly,,,
418,cafaruni,,"filth, disorder, impurity, immoral",,,
419,cahaya,,beauty *potion,,,
420,cakaiba,,mask,,,
421,cako,,"k o *fishing technique, strike, twist, evil",,,
422,canga-canga,,"priacy, murder, plunder",,,
423,capaka,,k o *plumeria,,,
424,capati,,clever,,,
425,capeo,,hat,,,
426,capu,,stamp,,,
427,cara,,"way, manner",,,
428,caragapi,,shroud,,,
429,carita,,"tell, announce",,,
430,carokia,,how,,,
431,cati,,paint,,,
432,cawali,,only,,,
433,cawaro,,clever,,,
434,cege-cege,,do fast in *unison,,,
435,celaka,,"misfortune, catastrophe",,,
436,cere,,"divide, divorce, tea *kettle",,,
437,cereni,,mister,,,
438,cicimi,,"rattan, small *twig",,,
439,cigiafa,,trigger,,,
440,cikahoua,,weak,,,
441,cinga-cinga,,k o *plant,,,
442,cingari,,"scanty, poor",,,
443,cirako,,strike,,,
444,ciu-ciu,o,k o *bird,animal,,
445,ciung,,k o *owl,,,
446,co,,hold tight,,,
447,cobo,,depart,,,
448,cobo-cobo,,"continual, constant",,,
449,cocatu,,gift,,,
450,cocawaro,,wise,,,
451,cocoo,,handle,,,
452,cocore,,"chatter, drivel",,,
453,cocoro,,funnel,,,
454,colo,,dye,,,
455,comoko,,closed,,,
456,coporoki,,"twisted, deformed",,,
457,copu,,"spray, squirt",,,
458,cuali,,slower,,,
459,cuci-kode,,hairpins,,,
460,cucukunu,,tickle,,,
461,cucupu,,small porcelain *vase,,,
