343,bote,part,"sure, certainly",
344,boteani,adv,presently,
345,boteme,o,k o *grain,food
346,botino,part,"then, further, next",
347,boto,i,"past, done, completed, finished",
348,boto-boto,o,k o *grasshopper,animal
349,botue,ma,net to land fish,fishing
350,bou-lamo,o,civet cat,animal
351,bounu,ma,"smell, scent, stench",
352,buapong,o,k o *millet,food
353,bubu,ha,to turn wood (by hand but as if on a lathe),
354,bubu,o,k o *fish,fish
355,bubukunu,o,purchase price,
356,bubuutu,,"spike, bar",
357,budi,ho,"mislead, decieve, deception",
358,budi,o,"art, wisdom",
359,bugo,,"swelling, festering",
360,bugo,,mark of ownership,
361,buhanga,,"span, linear measure",
362,buhengi,,"lazy, idle",
363,buho,,pandanus *tree,
364,buho-buho,,lying in heaps,
365,buhuhu,,give birth,
366,buhuku,,"inlay, take away, align",
367,buku,,partially full,
368,buku,,knee,
369,bukuku,,kneel,
370,bukunu,ho ma,sell,
371,bula,,multiple,
372,bulana,,fish,
373,buli-buliruku,,"wobbly, displeasing",
374,bulu,,belt,
375,bululawa,,clove,
376,bululu,,short,
377,bululu,,round,
378,buluteute,,stripe,
379,bunga,,interest money,
380,buoto,,"bite, mouthfull",
381,bureure,,"fat, obese, thick",
382,buruhu,,"wet, soaking *wet",
383,buruutu,,peel skin,
384,buta,,strand of aren fiber,
385,butanga,,six,
386,buteteke,,white *ant,
387,butu,,market,
388,buturungu,,strong,
389,butuueuhe,,"brackish, salty",
390,butuutu,,pin up,
391,buure!,,shout,
392,buwe-buw,,"cradle, swing",
393,caana,,thousand,
394,cacaki,,chalk pot,
395,cade,,joke,
396,cafala,,do *quickly,
397,cafaruni,,"filth, disorder, impurity, immoral",
398,cahaya,,beauty *potion,
399,cakaiba,,mask,
400,cako,,"k o *fishing technique, strike, twist, evil",
401,canga-canga,,"priacy, murder, plunder",
402,capaka,,k o *plumeria,
403,capati,,clever,
404,capeo,,hat,
405,capu,,stamp,
406,cara,,"way, manner",
407,caragapi,,shroud,
408,carita,,"tell, announce",
409,carokia,,how,
410,cati,,paint,
411,cawali,,only,
412,cawaro,,clever,
