385,buta,,strand of aren fiber,
386,butanga,,six,
387,buteteke,,white ant,
388,butu,,market,
389,buturungu,,strong,
390,butuueuhe,,"brackish, salty",
391,butuutu,,pin up,
392,buure!,,shout,
393,buwe-buw,,"cradle, swing",
394,caana,,thousand,
395,cacaki,,chalk pot,
396,cade,,joke,
397,cafala,,do quickly,
398,cafaruni,,"filth, disorder, impurity, immoral",
399,cahaya,,beauty potion,
400,cakaiba,,mask,
401,cako,,"k o fishing technique, strike, twist, evil",
402,canga-canga,,"priacy, murder, plunder",
403,capaka,,k o plumeria,
404,capati,,clever,
405,capeo,,hat,
406,capu,,stamp,
407,cara,,"way, manner",
408,caragapi,,shroud,
409,carita,,"tell, announce",
410,carokia,,how,
411,cati,,paint,
412,cawali,,only,
413,cawaro,,clever,
414,cege-cege,,do fast in unison,
415,celaka,,"misfortune, catastrophe",
416,cere,,"divide, divorce, tea kettle",
417,cereni,,mister,
418,cicimi,,"rattan, small twig",
419,cigiafa,,trigger,
420,cikahoua,,weak,
421,cinga-cinga,,k o plant,
422,cingari,,"scanty, poor",
423,cirako,,strike,
424,ciu-ciu,o,k o bird,animal
425,ciung,,k o owl,
426,co,,hold tight,
427,cobo,,depart,
428,cobo-cobo,,"continual, constant",
429,cocatu,,gift,
430,cocawaro,,wise,
431,cocoo,,handle,
432,cocore,,"chatter, drivel",
433,cocoro,,funnel,
434,colo,,dye,
435,comoko,,closed,
436,coporoki,,"twisted, deformed",
437,copu,,"spray, squirt",
438,cuali,,slower,
439,cuci-kode,,hairpins,
440,cucukunu,,tickle,
441,cucupu,,small porcelain vase,
442,cuga-cuga,,lame,
443,cugulu,,speak in riddles,
444,cuka,,vinegar,
445,cuka-cuka,,sour,
446,cuki,,sleep,
447,cuku-cuku,,"tickle, itch",
448,cumu-cumu,,riddle,
449,dabo-dabo,,fish dish,
450,daboho,,grained,
451,dada,,rice cake,
452,dadaboa,,k o small fish,
453,dadahongo,,spear,
454,dadaka,,liana,
455,dadaka,,banana,
456,dadakuru,,catcher,
457,dadalyoko,,fan,
458,dadami,,fire grill,
459,dadamonu,,cover,
460,dadana,,feast food,
461,dadapa,,patched,
462,dadarono,,"swelling, festering",
463,dadatoko,o,"cover, shield",
464,dadayoko,,fan,
465,dadi,,"become, succeed",
466,dadu,i,lay against,
467,dae,,weapon,
468,daena,DEM,"directional demonstrative, ""that downward""",dir
469,daeune,,"meet, conclude",
470,dafa,,slave captured in war,
471,dafi-dafi,,triangular bamboo sieve,
472,dafongo,,catch,
473,dagali,,substitute,
474,dagamono,,catch,
475,daganga,,merchant stranger,
476,dagapi,,explanation,
477,dagarihi,,cry intensely,
478,dagi,,run able to,
479,dagi-dagi,,run,
480,dago-dago,,run to meet,
481,dahabaka,,hit by accident,
482,dahango,,"spread, grow",
